,0M,0M,0M,,,t3_CSM_ctrl,t3_CSM_ctrl,t3_CSM_ctrl,,,Pulse30min3M,Pulse30min3M,Pulse30min3M,,,exp_then_20min3M,exp_then_20min3M,exp_then_20min3M,,,exp_then_30min3M,exp_then_30min3M,exp_then_30min3M
time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3
0,0.243,0.243,0.243,,0,0.243,0.243,0.243,,0,0.243,0.243,0.243,,0,0.243,0.243,0.243,,0,0.243,0.243,0.243
19,0.285,0.286,0.29,,19,0.285,0.286,0.29,,19,0.285,0.286,0.29,,19,0.285,0.286,0.29,,19,0.285,0.286,0.29
51,0.362,0.365,0.36,,51,0.362,0.365,0.36,,51,0.362,0.365,0.36,,51,0.362,0.365,0.36,,51,0.362,0.365,0.36
87,0.462,0.466,0.465,,87,0.462,0.466,0.465,,87,0.462,0.466,0.465,,87,0.462,0.466,0.465,,87,0.462,0.466,0.465
121,0.568,0.57,0.578,,121,0.568,0.57,0.578,,121,0.568,0.57,0.578,,121,0.568,0.57,0.578,,121,0.568,0.57,0.578
148,0.641,0.672,0.669,,,,,,,,,,,,,,,,,,,,
173,0.754,0.782,0.789,,269,0.541,0.584,0.614,,273,0.376,0.401,0.403,,278,0.326,0.339,0.264,,284,0.28,0.261,0.264
208,0.956,0.973,0.99,,317,0.707,0.771,0.824,,321,0.431,0.457,0.463,,325,0.381,0.395,0.295,,329,0.307,0.283,0.289
298,1.87,2.07,2.11,,361,0.908,1.001,1.044,,365,0.495,0.537,0.53,,368,0.468,0.493,0.355,,371,0.371,0.336,0.345
378,3.02,3.45,3.48,,405,1.33,1.5,1.62,,408,0.571,0.628,0.628,,411,0.6,0.636,0.452,,415,0.463,0.422,0.438
478,5.18,5.56,5.71,,449,1.8,2.11,2.23,,454,0.684,0.757,0.745,,457,0.786,0.848,0.594,,461,0.606,0.546,0.585
573,8.81,8.04,7.95,,488,2.28,2.68,2.82,,493,0.791,0.889,0.869,,497,0.984,1.065,0.766,,500,0.771,0.695,0.745
669,9.51,10.17,9.8,,537,3.12,3.84,3.97,,545,0.965,1.082,1.049,,550,1.327,1.438,1.055,,556,1.066,0.992,1.046
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,701,2.99,3.42,3.53,,707,0.569,0.703,0.652,,709,0.894,0.953,0.602,,714,0.605,0.509,0.582
,,,,,743,3.49,4.18,4.26,,746,0.607,0.732,0.693,,750,1.03,1.17,0.71,,753,0.65,0.549,0.61
,,,,,782,4.38,4.99,5.13,,784,0.657,0.824,0.771,,788,1.32,1.33,0.78,,793,0.768,0.644,0.733
,,,,,835,5.91,6.86,6.95,,838,0.73,0.943,0.882,,842,1.85,2.01,1.21,,845,0.975,0.851,0.986
,,,,,884,7.36,8.26,8.72,,886,1.01,1.3,1.15,,890,2.7,2.59,1.63,,895,1.52,1.27,1.49
,,,,,931,9.14,10.48,11.12,,919,1.05,1.41,1.23,,922,3.13,3.25,2.03,,927,1.86,1.67,1.84
,,,,,973,10.74,13.08,12.94,,959,1.18,1.73,1.51,,964,3.86,4.05,2.52,,968,2.41,2.01,2.43
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1658,0.013,,,,1658,0.228,,,,1658,0.152,,
,,,,,,,,,,1720,0.024,,,,1720,0.37,,,,1720,0.257,,
,,,,,,,,,,1751,0.032,,,,1751,0.468,,,,1751,0.315,,
,,,,,,,,,,1795,0.045,,,,1795,0.624,,,,1795,0.438,,
,,,,,,,,,,1836,0.06,,,,1836,0.771,,,,1836,0.556,,
,,,,,,,,,,1890,0.104,,,,1890,1.021,,,,1890,0.774,,
,,,,,,,,,,1933,0.131,,,,1933,1.29,,,,1933,1,,
,,,,,,,,,,1978,0.232,,,,1978,1.96,,,,1978,1.4,,
,,,,,,,,,,2028,0.341,,,,2028,2.5,,,,2028,1.82,,
,,,,,,,,,,2058,0.391,,,,2058,2.82,,,,2058,2.08,,